source,target,relation_type,mechanism,source_kind,target_kind
analf,im_conapo,derivacion_determinista,DP2: d/σ·(1−R²) con base peor escenario 2010–2020,observada,indice
sin_basica,im_conapo,derivacion_determinista,ídem,observada,indice
sin_drenaje,im_conapo,derivacion_determinista,ídem,observada,indice
sin_electr,im_conapo,derivacion_determinista,ídem,observada,indice
sin_agua,im_conapo,derivacion_determinista,ídem,observada,indice
piso_tierra,im_conapo,derivacion_determinista,ídem,observada,indice
hacinam,im_conapo,derivacion_determinista,ídem,observada,indice
loc_peq,im_conapo,derivacion_determinista,ídem,observada,indice
ing_2sm,im_conapo,derivacion_determinista,ídem,observada,indice
rezago_educ,pobreza_coneval,derivacion_determinista,cuadrantes: carencias + bienestar por ingreso,observada,indice
car_salud,pobreza_coneval,derivacion_determinista,ídem,observada,indice
car_segsoc,pobreza_coneval,derivacion_determinista,ídem,observada,indice
car_vivienda,pobreza_coneval,derivacion_determinista,ídem,observada,indice
car_servbas,pobreza_coneval,derivacion_determinista,ídem,observada,indice
car_alim,pobreza_coneval,derivacion_determinista,ídem,observada,indice
lp_ingreso,pobreza_coneval,derivacion_determinista,ídem,observada,indice
lp_ingreso_ext,pobreza_coneval,derivacion_determinista,ídem,observada,indice
pobreza_2015,formula_fais,retroalimentacion_politica,insumo legal vigente ~2020: pobreza extrema municipal 2015 (art. 34 LCF),indice,politica
piso_2013,formula_fais,retroalimentacion_politica,herencia: asignación 2013 de la fórmula vieja de masa carencial (perfil marginación),politica,politica
pobreza_coneval,formula_fais,retroalimentacion_politica,la medición 2020 alimenta asignaciones 2021+ (cierra el ciclo),indice,politica
formula_fais,fism,retroalimentacion_politica,asignación anual FISM por municipio,politica,politica
fism,inversion,retroalimentacion_politica,ejecución en agua/drenaje/electrificación/vivienda,politica,politica
inversion,z_infra,retroalimentacion_politica,reduce la privación de infraestructura FUTURA: medición→dinero→fenómeno,politica,latente
